,Year_Birth,Income,Dt_Customer,Recency,WinesProducts,FruitsProducts,MeatProducts,FishProducts,SweetProducts,GoldProducts,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Children,Spent,Education_Graduation,Education_Postgraduate,Education_Undergraduate,Marital_Status_Married,Marital_Status_Single
0,65,58138.0,25,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,1,0,1617,1,0,0,0,1
1,68,46344.0,7,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,0,1,27,1,0,0,0,1
2,57,71613.0,13,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,0,0,776,1,0,0,1,0
3,38,26646.0,7,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,0,1,53,1,0,0,1,0
4,41,58293.0,8,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,0,1,422,0,1,0,1,0
5,55,62513.0,13,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,0,1,716,0,1,0,1,0
6,51,55635.0,23,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,0,1,590,1,0,0,0,1
7,37,33454.0,17,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,0,1,169,0,1,0,1,0
8,48,30351.0,16,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,1,1,46,0,1,0,1,0
9,72,5648.0,6,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,0,1,49,0,1,0,1,0
10,46,7500.0,23,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,0,0,61,0,0,1,1,0
11,63,63033.0,10,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,0,0,1102,1,0,0,0,1
12,70,59354.0,10,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,0,1,310,0,1,0,0,1
13,35,17323.0,24,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,0,0,46,1,0,0,1,0
14,76,82800.0,22,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,1,0,1315,0,1,0,0,1
15,42,41850.0,21,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,0,1,96,1,0,0,1,0
16,76,37760.0,25,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,0,0,317,1,0,0,1,0
17,73,76995.0,18,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,0,1,1782,0,1,0,1,0
18,37,33812.0,23,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,0,1,133,0,1,0,0,1
19,40,37040.0,26,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,0,0,316,1,0,0,1,0
20,43,2447.0,21,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,0,1,1730,1,0,0,1,0
21,73,58607.0,21,63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,0,1,972,0,1,0,1,0
22,68,65324.0,8,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,1,544,0,1,0,1,0
23,71,40689.0,18,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,0,1,444,1,0,0,1,0
24,53,18589.0,21,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,0,0,75,1,0,0,0,1
25,46,53359.0,16,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,0,1,257,1,0,0,1,0
26,33,38360.0,16,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,0,1,131,1,0,0,1,0
27,57,84618.0,10,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,0,0,1672,0,1,0,1,0
28,33,10979.0,4,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,0,0,30,0,1,0,0,1
29,59,38620.0,17,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,0,318,0,1,0,1,0
30,52,40548.0,24,31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,0,1,120,1,0,0,1,0
31,70,46610.0,23,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,1,1,302,0,1,0,0,1
32,76,68657.0,19,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,0,0,1196,0,1,0,1,0
33,71,49389.0,13,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,0,1,65,0,1,0,0,1
34,52,67353.0,9,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,0,1,913,0,1,0,1,0
35,46,23718.0,13,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,0,1,81,0,1,0,1,0
36,49,42429.0,7,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,0,1,67,1,0,0,0,1
37,79,48948.0,20,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,1,0,902,0,1,0,0,1
38,42,80011.0,17,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,0,1,1395,1,0,0,1,0
39,37,20559.0,19,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,0,1,53,0,1,0,1,0
40,65,21994.0,21,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,0,1,22,1,0,0,1,0
41,47,7500.0,12,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,0,1,31,0,1,0,1,0
42,46,79941.0,3,72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,0,0,984,1,0,0,0,1
43,26,7500.0,23,24,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,1,0,122,0,1,0,1,0
44,54,41728.0,16,92,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,0,1,55,1,0,0,1,0
45,68,72550.0,23,39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,0,1,1319,0,1,0,1,0
46,65,65486.0,4,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,0,1,507,1,0,0,0,1
47,58,79143.0,26,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,0,0,1693,0,1,0,1,0
48,45,35790.0,21,54,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,0,1,72,1,0,0,0,1
49,45,82582.0,3,54,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,0,1,0,1617,1,0,0,0,1
50,44,66373.0,15,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,0,1,606,1,0,0,1,0
51,67,82384.0,22,55,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,0,1,0,1957,0,1,0,1,0
52,56,70287.0,18,30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,1,0,1093,1,0,0,0,1
53,34,27938.0,5,31,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,0,1,29,1,0,0,0,1
54,54,55954.0,7,63,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,0,1,518,0,1,0,1,0
55,40,75777.0,15,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,0,1,0,1438,0,1,0,0,1
56,47,66653.0,25,18,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,0,1,612,1,0,0,1,0
57,70,61823.0,19,26,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,0,1,884,1,0,0,0,1
58,71,67680.0,16,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,0,1,606,0,1,0,0,1
59,74,70666.0,10,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,0,0,1076,1,0,0,1,0
60,51,25721.0,16,75,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,1,1,34,1,0,0,1,0
61,55,32474.0,4,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,0,1,11,1,0,0,1,0
62,43,88194.0,6,19,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,0,1,1,1274,0,1,0,0,1
63,64,69096.0,12,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,0,1,653,1,0,0,1,0
64,52,74854.0,18,90,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,0,1,1562,1,0,0,1,0
65,68,66991.0,25,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,0,0,1253,0,1,0,1,0
66,63,65031.0,18,29,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,0,1,863,1,0,0,1,0
67,47,60631.0,18,88,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,0,1,661,0,1,0,1,0
68,70,28332.0,5,58,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,0,0,65,1,0,0,1,0
69,45,40246.0,21,68,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,0,1,13,1,0,0,0,1
70,50,75251.0,25,34,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,0,1,0,1890,0,1,0,1,0
71,46,75825.0,24,40,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,0,1,0,2209,1,0,0,0,1
72,46,26326.0,13,12,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,1,0,0,18,0,1,0,1,0
73,57,56046.0,21,9,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,0,1,0,692,1,0,0,1,0
74,37,29760.0,25,87,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,0,1,165,1,0,0,0,1
