,Income,Dt_Customer,Recency,WinesProducts,FruitsProducts,MeatProducts,FishProducts,SweetProducts,GoldProducts,NumWebVisitsMonth,Complain,Z_CostContact,Z_Revenue,Response,Spending,Total_Purchase,NumberofChildren,TotalCampaignsAcc,Education_Basic,Education_Graduation,Education_Master,Education_PhD,Marital_Status_Divorced,Marital_Status_Married,Marital_Status_Single,Marital_Status_Widow
0,58138.0,25,58,635,88,546,172,88,88,7,0,3,11,1,1617,25,0,0,0,1,0,0,0,0,1,0
1,46344.0,7,38,11,1,6,2,1,6,5,0,3,11,0,27,6,2,0,0,1,0,0,0,0,1,0
2,71613.0,13,26,426,49,127,111,21,42,4,0,3,11,0,776,21,0,0,0,1,0,0,0,1,0,0
3,26646.0,7,26,11,4,20,10,3,5,6,0,3,11,0,53,8,1,0,0,1,0,0,0,1,0,0
4,58293.0,8,94,173,43,118,46,27,15,5,0,3,11,0,422,19,1,0,0,0,0,1,0,1,0,0
5,62513.0,13,16,520,42,98,0,42,14,6,0,3,11,0,716,22,1,0,0,0,1,0,0,1,0,0
6,55635.0,23,34,235,65,164,50,49,27,6,0,3,11,0,590,21,1,0,0,1,0,0,1,0,0,0
7,33454.0,17,32,76,10,56,3,1,23,8,0,3,11,0,169,10,1,0,0,0,0,1,0,1,0,0
8,30351.0,16,19,14,0,24,3,3,2,9,0,3,11,1,46,6,1,0,0,0,0,1,0,1,0,0
9,5648.0,6,68,28,0,6,1,1,13,20,0,3,11,0,49,2,2,1,0,0,0,1,0,1,0,0
10,7500.0,23,59,6,16,11,11,1,16,8,0,3,11,0,61,6,0,0,1,0,0,0,0,1,0,0
11,63033.0,10,82,194,61,480,225,112,30,2,0,3,11,0,1102,16,0,0,0,1,0,0,1,0,0,0
12,59354.0,10,53,233,2,53,3,5,14,6,0,3,11,0,310,15,2,0,0,0,1,0,1,0,0,0
13,17323.0,24,38,3,14,17,6,1,5,8,0,3,11,0,46,5,0,0,0,1,0,0,0,1,0,0
14,82800.0,22,23,1006,22,115,59,68,45,3,0,3,11,1,1315,26,0,2,0,0,0,1,0,0,1,0
15,41850.0,21,51,53,5,19,2,13,4,8,0,3,11,0,96,9,2,0,0,1,0,0,0,1,0,0
16,37760.0,25,20,84,5,38,150,12,28,7,0,3,11,0,317,13,0,0,0,1,0,0,0,1,0,0
17,76995.0,18,91,1012,80,498,0,16,176,5,0,3,11,0,1782,26,1,1,0,0,1,0,0,1,0,0
18,33812.0,23,86,4,17,19,30,24,39,6,0,3,11,0,133,8,1,0,0,0,1,0,0,0,1,0
19,37040.0,26,41,86,2,73,69,38,48,8,0,3,11,0,316,12,0,0,0,1,0,0,0,1,0,0
20,58607.0,21,63,867,0,86,0,0,19,8,0,3,11,0,972,17,1,1,0,0,0,1,0,1,0,0
21,65324.0,8,0,384,0,102,21,32,5,4,0,3,11,0,544,20,1,0,0,0,0,1,0,1,0,0
22,40689.0,18,69,270,3,27,39,6,99,8,0,3,11,0,444,20,1,0,0,1,0,0,0,1,0,0
23,18589.0,21,89,6,4,25,15,12,13,7,0,3,11,0,75,8,0,0,0,1,0,0,0,0,1,0
24,53359.0,16,4,173,4,30,3,6,41,7,0,3,11,0,257,14,2,0,0,1,0,0,0,1,0,0
25,38360.0,16,26,36,2,42,20,21,10,3,0,3,11,0,131,9,1,0,0,1,0,0,0,1,0,0
26,84618.0,10,96,684,100,801,21,66,0,2,0,3,11,0,1672,26,0,1,0,0,0,1,0,1,0,0
27,10979.0,4,34,8,4,10,2,2,4,5,0,3,11,0,30,8,0,0,0,0,1,0,1,0,0,0
28,38620.0,17,56,112,17,44,34,22,89,3,0,3,11,0,318,11,0,0,0,0,1,0,0,1,0,0
29,40548.0,24,31,110,0,5,2,0,3,5,0,3,11,0,120,9,1,1,0,1,0,0,0,1,0,0
30,46610.0,23,8,96,12,96,33,22,43,6,0,3,11,1,302,17,2,0,0,0,0,1,1,0,0,0
31,68657.0,19,4,482,34,471,119,68,22,7,0,3,11,0,1196,18,0,0,0,0,1,0,0,1,0,0
32,49389.0,13,55,40,0,19,2,1,3,7,0,3,11,0,65,6,2,0,0,0,1,0,0,0,1,0
33,67353.0,9,37,702,17,151,0,8,35,2,0,3,11,0,913,28,1,0,0,0,0,1,0,1,0,0
34,23718.0,13,76,6,3,14,15,7,36,7,0,3,11,0,81,9,1,0,0,0,1,0,0,1,0,0
35,42429.0,7,99,55,0,6,2,0,4,5,0,3,11,0,67,7,1,0,0,1,0,0,0,0,0,1
36,48948.0,20,53,437,8,206,160,49,42,6,0,3,11,1,902,24,0,1,0,0,0,1,1,0,0,0
37,80011.0,17,3,421,76,536,82,178,102,4,0,3,11,0,1395,21,1,0,0,1,0,0,0,1,0,0
38,20559.0,19,88,13,1,29,3,0,7,8,0,3,11,0,53,7,1,0,0,0,1,0,0,1,0,0
39,21994.0,21,4,9,0,6,3,1,3,5,0,3,11,0,22,4,1,0,0,1,0,0,0,1,0,0
40,7500.0,12,19,3,1,10,3,2,12,5,0,3,11,0,31,8,1,0,0,0,1,0,0,1,0,0
41,79941.0,3,72,123,164,266,227,30,174,1,0,3,11,0,984,16,0,0,0,1,0,0,0,0,1,0
42,7500.0,23,24,3,18,14,15,22,50,9,0,3,11,1,122,10,0,0,0,0,1,0,0,1,0,0
43,41728.0,16,92,13,6,15,3,5,13,10,0,3,11,0,55,5,1,0,0,1,0,0,0,1,0,0
44,72550.0,23,39,826,50,317,50,38,38,8,0,3,11,0,1319,28,2,0,0,0,0,1,0,1,0,0
45,65486.0,4,29,245,19,125,37,67,14,2,0,3,11,0,507,17,1,0,0,1,0,0,0,0,0,1
46,79143.0,26,2,650,37,780,27,167,32,3,0,3,11,0,1693,29,0,0,0,0,1,0,0,1,0,0
47,35790.0,21,54,12,6,20,30,1,3,7,0,3,11,0,72,7,1,0,0,1,0,0,0,0,1,0
48,82582.0,3,54,510,120,550,156,40,241,1,0,3,11,1,1617,21,0,2,0,1,0,0,1,0,0,0
49,66373.0,15,57,328,9,124,12,24,109,3,0,3,11,0,606,23,2,0,0,1,0,0,0,1,0,0
50,82384.0,22,55,984,51,432,180,120,190,1,0,3,11,1,1957,27,0,1,0,0,1,0,0,1,0,0
51,70287.0,18,30,295,35,482,121,120,40,3,0,3,11,1,1093,21,0,0,0,1,0,0,1,0,0,0
